port,ship,cruise_line,passengers,arrival_date,arrival_time,departure_time,all_aboard_time,source,source_url,source_checked,notes
flam,Viking Mira,Viking,998,2026-08-18,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,Celebrity Apex,Celebrity Cruises,2910,2026-08-19,09:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-08-20,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAprima,AIDA,3376,2026-08-21,09:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,Explora III,Explora Journeys,922,2026-08-23,09:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAnova,AIDA,5200,2026-08-25,08:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,Iona,P&O Cruises,5200,2026-08-26,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-08-27,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Ambition,Ambassador Cruise Line,1400,2026-08-30,08:30,19:00,,Manual CSV import,,,All aboard time TBC
flam,Costa Favolosa,Costa,3800,2026-08-31,08:30,17:30,,Manual CSV import,,,All aboard time TBC
flam,AIDAprima,AIDA,3376,2026-09-01,09:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,Arvia,P&O Cruises,5200,2026-09-02,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-09-03,08:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAprima,AIDA,3376,2026-09-07,08:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAnova,AIDA,5200,2026-09-08,08:00,,,Manual CSV import,,,Departure time TBC; All aboard time TBC
flam,Costa Favolosa,Costa,3800,2026-09-09,08:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-09-10,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Viking Mira,Viking Oceans,998,2026-09-11,,,,Manual CSV import,,,Arrival time TBC; Departure time TBC; All aboard time TBC
flam,Costa Favolosa,Costa,3800,2026-09-15,09:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAnova,AIDA,5200,2026-09-16,08:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-09-17,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Spirit Of Adventure,Saga Cruises,999,2026-09-20,10:00,21:00,,Manual CSV import,,,All aboard time TBC
flam,AIDAprima,AIDA,3376,2026-09-22,09:00,19:00,,Manual CSV import,,,All aboard time TBC
flam,MSC Euribia,MSC,4888,2026-09-24,07:00,18:00,,Manual CSV import,,,All aboard time TBC
flam,Ambience,Ambassador Cruise Line,1400,2026-09-25,07:30,18:00,,Manual CSV import,,,All aboard time TBC
